CoT_Type_Technical;MIL2525C;APP6B
a-f-a-w-m-a-a;SFA-WMAA--;SFA-WMAA--
a-f-a-w-m-a-p;SFA-WMAP--;SFA-WMAP--
a-f-a-w-m-a-s;SFA-WMAS--;SFA-WMAS--
a-f-a-w-m-b;SFA-WMB---;SFA-WM----
a-f-a-w-m-c-m;SFA-WMCM--;SFA-WM----
a-f-a-w-m-s;SFA-WMS---;SFA-WMS---
a-f-a-w-m-s-a;SFA-WMSA--;SFA-WMSA--
a-f-a-w-m-s-b;SFA-WMSB--;SFA-WMSB--
a-f-a-w-m-s-s;SFA-WMSS--;SFA-WMSS--
a-f-a-w-m-s-u;SFA-WMSU--;SFA-WMSU--
a-f-a-w-m-u;SFA-WMU---;SFA-WMU---
a-f-f;SFF-------;SFF-------
a-f-f-a;SFF-A-----;SFF-------
a-f-f-a-f;SFF-AF----;SFF-AF----
a-f-f-a-f-a;SFF-AFA---;SFF-AFA---
a-f-f-a-f-k;SFF-AFK---;SFF-AFK---
a-f-f-a-f-u;SFF-AFU---;SFF-AFU---
a-f-f-a-f-u-h;SFF-AFUH--;SFF-AFUH--
a-f-f-a-f-u-l;SFF-AFUL--;SFF-AFUL--
a-f-f-a-f-u-m;SFF-AFUM--;SFF-AFUM--
a-f-f-a-h;SFF-AH----;SFF-AH----
a-f-f-a-h-a;SFF-AHA---;SFF-AHA---
a-f-f-a-h-h;SFF-AHH---;SFF-AHH---
a-f-f-a-h-u;SFF-AHU---;SFF-AHU---
a-f-f-a-h-u-h;SFF-AHUH--;SFF-AHUH--
a-f-f-a-h-u-l;SFF-AHUL--;SFF-AHUL--
a-f-f-a-h-u-m;SFF-AHUM--;SFF-AHUM--
a-f-f-a-v;SFF-AV----;SFF-AV----
a-f-f-b;SFF-B-----;SFF-------
a-f-f-g;SFF-G-----;SFF-G-----
a-f-f-g-c;SFF-GC----;SFF-GCA---
a-f-f-g-p;SFF-GP----;SFF-GB----
a-f-f-g-p-a;SFF-GPA---;SFF-AF----
a-f-f-g-r;SFF-GR----;SFF-G-----
a-f-f-g-s;SFF-GS----;SFF-GS----
a-f-f-n;SFF-N-----;SFF-SN----
a-f-f-n-b;SFF-NB----;SFF-SNB---
a-f-f-n-n;SFF-NN----;SFF-SNN---
a-f-f-n-s;SFF-NS----;SFF-SNS---
a-f-f-n-u;SFF-NU----;SFF-SNU---
a-f-g;SFG-------;SFG-------
a-f-g-e;SFG-E-----;SFG-E-----
a-f-g-e-s;SFG-ES----;SFG-ES----
a-f-g-e-s-e;SFG-ESE---;SFG-ESE---
a-f-g-e-s-r;SFG-ESR---;SFG-ESR---
a-f-g-e-v;SFG-EV----;SFG-EV----
a-f-g-e-v-a;SFG-EVA---;SFG-EVA---
a-f-g-e-v-a-a;SFG-EVAA--;SFG-EVAA--
a-f-g-e-v-a-a-r;SFG-EVAAR-;SFG-EVAAR-
a-f-g-e-v-a-c;SFG-EVAC--;SFG-EVAC--
a-f-g-e-v-a-i;SFG-EVAI--;SFG-EVAI--
a-f-g-e-v-a-l;SFG-EVAL--;SFG-EVAL--
a-f-g-e-v-a-s;SFG-EVAS--;SFG-EVAS--
a-f-g-e-v-a-t;SFG-EVAT--;SFG-EVAT--
a-f-g-e-v-a-t-h;SFG-EVATH-;SFG-EVATH-
a-f-g-e-v-a-t-h-r;SFG-EVATHR;SFG-EVATY-
a-f-g-e-v-a-t-l;SFG-EVATL-;SFG-EVATL-
a-f-g-e-v-a-t-l-r;SFG-EVATLR;SFG-EVATW-
a-f-g-e-v-a-t-m;SFG-EVATM-;SFG-EVATM-
a-f-g-e-v-a-t-m-r;SFG-EVATMR;SFG-EVATX-
a-f-g-e-v-c;SFG-EVC---;SFG-EVC---
a-f-g-e-v-c-a;SFG-EVCA--;SF-EVC---
a-f-g-e-v-c-a-h;SFG-EVCAH-;SF-EVC---
a-f-g-e-v-c-a-l;SFG-EVCAL-;SF-EVC---
a-f-g-e-v-c-a-m;SFG-EVCAM-;SF-EVC---
a-f-g-e-v-c-f;SFG-EVCF--;SF-EVC---
a-f-g-e-v-c-f-h;SFG-EVCFH-;SF-EVC---
a-f-g-e-v-c-f-l;SFG-EVCFL-;SF-EVC---
a-f-g-e-v-c-f-m;SFG-EVCFM-;SF-EVC---
a-f-g-e-v-c-j;SFG-EVCJ--;SF-EVC---
a-f-g-e-v-c-j-h;SFG-EVCJH-;SF-EVC---
a-f-g-e-v-c-j-l;SFG-EVCJL-;SF-EVC---
a-f-g-e-v-c-j-m;SFG-EVCJM-;SF-EVC---
a-f-g-e-v-c-m;SFG-EVCM--;SF-EVC---
a-f-g-e-v-c-m-h;SFG-EVCMH-;SF-EVC---
a-f-g-e-v-c-m-l;SFG-EVCML-;SF-EVC---
a-f-g-e-v-c-m-m;SFG-EVCMM-;SF-EVC---
a-f-g-e-v-c-o;SFG-EVCO--;SF-EVC---
a-f-g-e-v-c-o-h;SFG-EVCOH-;SF-EVC---
a-f-g-e-v-c-o-l;SFG-EVCOL-;SF-EVC---
a-f-g-e-v-c-o-m;SFG-EVCOM-;SF-EVC---
a-f-g-e-v-c-t;SFG-EVCT--;SF-EVC---
a-f-g-e-v-c-t-h;SFG-EVCTH-;SF-EVC---
a-f-g-e-v-c-t-l;SFG-EVCTL-;SF-EVC---
a-f-g-e-v-c-t-m;SFG-EVCTM-;SF-EVC---
a-f-g-e-v-c-u;SFG-EVCU--;SF-EVC---
a-f-g-e-v-c-u-h;SFG-EVCUH-;SF-EVC---
a-f-g-e-v-c-u-l;SFG-EVCUL-;SF-EVC---
a-f-g-e-v-c-u-m;SFG-EVCUM-;SF-EVC---
a-f-g-e-v-e;SFG-EVE---;SFG-EVE---
a-f-g-e-v-e-a;SFG-EVEA--;SFG-EVE---
a-f-g-e-v-e-a-a;SFG-EVEAA-;SFG-EVE---
a-f-g-e-v-e-a-t;SFG-EVEAT-;SFG-EVE---
a-f-g-e-v-e-b;SFG-EVEB--;SFG-EVEB--
a-f-g-e-v-e-c;SFG-EVEC--;SFG-EVEC--
a-f-g-e-v-e-d;SFG-EVED--;SFG-EVED--
a-f-g-e-v-e-d-a;SFG-EVEDA-;SFG-EVED--
a-f-g-e-v-e-e;SFG-EVEE--;SFG-EVEE--
a-f-g-e-v-e-f;SFG-EVEF--;SFG-EVE---
a-f-g-e-v-e-h;SFG-EVEH--;SFG-EVE---
a-f-g-e-v-e-m;SFG-EVEM--;SFG-EVEM--
a-f-g-e-v-e-m-l;SFG-EVEML-;SFG-EVEM--
a-f-g-e-v-e-m-v;SFG-EVEMV-;SFG-EVEMV-
a-f-g-e-v-e-r;SFG-EVER--;SFG-EVE---
a-f-g-e-v-e-s;SFG-EVES--;SFG-EVE---
a-f-g-e-v-m;SFG-EVM---;SFG-EV----
a-f-g-e-v-s;SFG-EVS---;SFG-EV----
a-f-g-e-v-s-c;SFG-EVSC--;SFG-EV----
a-f-g-e-v-s-p;SFG-EVSP--;SFG-EV----
a-f-g-e-v-s-r;SFG-EVSR--;SFG-EV----
a-f-g-e-v-s-t;SFG-EVST--;SFG-EV----
a-f-g-e-v-s-w;SFG-EVSW--;SFG-EV----
a-f-g-e-v-t;SFG-EVT---;SFG-EVST--
a-f-g-e-v-u;SFG-EVU---;SFG-EVU---
a-f-g-e-v-u-a;SFG-EVUA--;SFG-EVU---
a-f-g-e-v-u-a-a;SFG-EVUAA-;SFG-EVAA--
a-f-g-e-v-u-b;SFG-EVUB--;SFG-EVUB--
a-f-g-e-v-u-l;SFG-EVUL--;SFG-EVUL--
a-f-g-e-v-u-r;SFG-EVUR--;SFG-EVUR--
a-f-g-e-v-u-s;SFG-EVUS--;SFG-EVUS--
a-f-g-e-v-u-s-h;SFG-EVUSH-;SFG-EVUS--
a-f-g-e-v-u-s-l;SFG-EVUSL-;SFG-EVUS--
a-f-g-e-v-u-s-m;SFG-EVUSM-;SFG-EVUS--
a-f-g-e-v-u-t;SFG-EVUT--;SFG-EVU---
a-f-g-e-v-u-t-h;SFG-EVUTH-;SFG-EVU---
a-f-g-e-v-u-t-l;SFG-EVUTL-;SFG-EVU---
a-f-g-e-v-u-x;SFG-EVUX--;SFG-EVUX--
a-f-g-e-w;SFG-EW----;SFG-EW----
a-f-g-e-w-a;SFG-EWA---;SFG-EWA---
a-f-g-e-w-a-h;SFG-EWAH--;SFG-EWAH--
a-f-g-e-w-a-l;SFG-EWAL--;SFG-EWAL--
a-f-g-e-w-a-m;SFG-EWAM--;SFG-EWAM--
a-f-g-e-w-d;SFG-EWD---;SFG-EWD---
a-f-g-e-w-d-h;SFG-EWDH--;SFG-EWDH--
a-f-g-e-w-d-h-s;SFG-EWDHS-;SFG-EWDHS-
a-f-g-e-w-d-l;SFG-EWDL--;SFG-EWDL--
a-f-g-e-w-d-l-s;SFG-EWDLS-;SFG-EWDLS-
a-f-g-e-w-d-m;SFG-EWDM--;SFG-EWDM--
a-f-g-e-w-d-m-s;SFG-EWDMS-;SFG-EWDMS-
a-f-g-e-w-g;SFG-EWG---;SFG-EWG---
a-f-g-e-w-g-h;SFG-EWGH--;SFG-EWGH--
a-f-g-e-w-g-l;SFG-EWGL--;SFG-EWGL--
a-f-g-e-w-g-m;SFG-EWGM--;SFG-EWGM--
a-f-g-e-w-g-r;SFG-EWGR--;SFG-EWGR--
a-f-g-e-w-h;SFG-EWH---;SFG-EWH---
a-f-g-e-w-h-h;SFG-EWHH--;SFG-EWHH--
a-f-g-e-w-h-h-s;SFG-EWHHS-;SFG-EWHHS-
a-f-g-e-w-h-l;SFG-EWHL--;SFG-EWHL--
a-f-g-e-w-h-l-s;SFG-EWHLS-;SFG-EWHLS-
a-f-g-e-w-h-m;SFG-EWHM--;SFG-EWHM--
a-f-g-e-w-h-m-s;SFG-EWHMS-;SFG-EWHMS-
a-f-g-e-w-m;SFG-EWM---;SFG-EWM---
a-f-g-e-w-m-a;SFG-EWMA--;SFG-EWMA--
a-f-g-e-w-m-a-i;SFG-EWMAI-;SFG-EWMAI-
a-f-g-e-w-m-a-i-e;SFG-EWMAIE;SFG-EWMAI-
a-f-g-e-w-m-a-i-r;SFG-EWMAIR;SFG-EWMAI-
a-f-g-e-w-m-a-l;SFG-EWMAL-;SFG-EWMAL-
a-f-g-e-w-m-a-l-e;SFG-EWMALE;SFG-EWMAL-
a-f-g-e-w-m-a-l-r;SFG-EWMALR;SFG-EWMAL-
a-f-g-e-w-m-a-s;SFG-EWMAS-;SFG-EWMAS-
a-f-g-e-w-m-a-s-e;SFG-EWMASE;SFG-EWMAS-
a-f-g-e-w-m-a-s-r;SFG-EWMASR;SFG-EWMAS-
a-f-g-e-w-m-a-t;SFG-EWMAT-;SFG-EWMAT-
a-f-g-e-w-m-a-t-e;SFG-EWMATE;SFG-EWMAT-
a-f-g-e-w-m-a-t-r;SFG-EWMATR;SFG-EWMAT-
a-f-g-e-w-m-s;SFG-EWMS--;SFG-EWMS--
a-f-g-e-w-m-s-i;SFG-EWMSI-;SFG-EWMSI-
a-f-g-e-w-m-s-l;SFG-EWMSL-;SFG-EWMSL-
a-f-g-e-w-m-s-s;SFG-EWMSS-;SFG-EWMSS-
a-f-g-e-w-m-t;SFG-EWMT--;SFG-EWMT--
a-f-g-e-w-m-t-h;SFG-EWMTH-;SFG-EWMTH-
a-f-g-e-w-m-t-l;SFG-EWMTL-;SFG-EWMTL-
a-f-g-e-w-m-t-m;SFG-EWMTM-;SFG-EWMTM-
a-f-g-e-w-o;SFG-EWO---;SFG-EWO---
a-f-g-e-w-o-h;SFG-EWOH--;SFG-EWOH--
a-f-g-e-w-o-l;SFG-EWOL--;SFG-EWOL--
a-f-g-e-w-o-m;SFG-EWOM--;SFG-EWOM--
a-f-g-e-w-r;SFG-EWR---;SFG-EWR---
a-f-g-e-w-r-h;SFG-EWRH--;SFG-EWRH--
a-f-g-e-w-r-l;SFG-EWRL--;SFG-EWRL--
a-f-g-e-w-r-r;SFG-EWRR--;SFG-EWRR--
a-f-g-e-w-s;SFG-EWS---;SFG-EWS---
a-f-g-e-w-s-h;SFG-EWSH--;SFG-EWSH--
a-f-g-e-w-s-l;SFG-EWSL--;SFG-EWSL--
a-f-g-e-w-s-m;SFG-EWSM--;SFG-EWSM--
a-f-g-e-w-t;SFG-EWT---;SFG-EWT---
a-f-g-e-w-t-h;SFG-EWTH--;SFG-EWTH--
a-f-g-e-w-t-l;SFG-EWTL--;SFG-EWTL--
a-f-g-e-w-t-m;SFG-EWTM--;SFG-EWTM--
a-f-g-e-w-x;SFG-EWX---;SFG-EWX---
a-f-g-e-w-x-h;SFG-EWXH--;SFG-EWXH--
a-f-g-e-w-x-l;SFG-EWXL--;SFG-EWXL--
a-f-g-e-w-x-m;SFG-EWXM--;SFG-EWXM--
a-f-g-e-w-z;SFG-EWZ---;SFG-EWZ---
a-f-g-e-w-z-h;SFG-EWZH--;SFG-EWZH--
a-f-g-e-w-z-l;SFG-EWZL--;SFG-EWZL--
a-f-g-e-w-z-m;SFG-EWZM--;SFG-EWZM--
a-f-g-e-x;SFG-EX----;SFG-EX----
a-f-g-e-x-f;SFG-EXF---;SFG-EXF---
a-f-g-e-x-i;SFG-EXI---;SFG-EXM---
a-f-g-e-x-l;SFG-EXL---;SFG-EXL---
a-f-g-e-x-m;SFG-EXM---;SFG-EXM---
a-f-g-e-x-m-c;SFG-EXMC--;SFG-EXMC--
a-f-g-e-x-m-l;SFG-EXML--;SFG-EXML--
a-f-g-e-x-n;SFG-EXN---;SFG-EXN---
a-f-g-i-h;SFG-IH----;SFG-I-----
a-f-g-i-b-h;SFG-IBH---;SFG-IB----
a-f-g-i-b-a-h;SFG-IBAH--;SFG-IB----
a-f-g-i-b-n-h;SFG-IBNH--;SFG-IB----
a-f-g-i-e-h;SFG-IEH---;SFG-IE----
a-f-g-i-g-h;SFG-IGH---;SFG-IG----
a-f-g-i-m-h;SFG-IMH---;SFG-IM----
a-f-g-i-m-a-h;SFG-IMAH--;SFG-IMA---
a-f-g-i-m-c-h;SFG-IMCH--;SFG-IMC---
a-f-g-i-m-e-h;SFG-IMEH--;SFG-IME---
a-f-g-i-m-f-h;SFG-IMFH--;SFG-IMF---
a-f-g-i-m-f-a-h;SFG-IMFAH-;SFG-IMF---
a-f-g-i-m-f-p-h;SFG-IMFPH-;SFG-IMF---
a-f-g-i-m-f-p-w-h;SFG-IMFPWH;SFG-IMF---
a-f-g-i-m-f-s-h;SFG-IMFSH-;SFG-IMF---
a-f-g-i-m-g-h;SFG-IMGH--;SFG-IMG---
a-f-g-i-m-m-h;SFG-IMMH--;SFG-IMM---
a-f-g-i-m-n-h;SFG-IMNH--;SFG-IMN---
a-f-g-i-m-n-b-h;SFG-IMNBH-;SFG-IMNB---
a-f-g-i-m-s-h;SFG-IMSH--;SFG-IMS---
a-f-g-i-m-v-h;SFG-IMVH--;SFG-IMV---
a-f-g-i-p-h;SFG-IPH---;SFG-IP----
a-f-g-i-p-d-h;SFG-IPDH--;SFG-IPD---
a-f-g-i-r-h;SFG-IRH---;SFG-IR----
a-f-g-i-r-m-h;SFG-IRMH--;SFG-IRM---
a-f-g-i-r-n-h;SFG-IRNH--;SFG-IRN---
a-f-g-i-r-n-b-h;SFG-IRNBH-;SFG-IRNB--
a-f-g-i-r-n-c-h;SFG-IRNCH-;SFG-IRNC--
a-f-g-i-r-n-n-h;SFG-IRNNH-;SFG-IRNN--
a-f-g-i-r-p-h;SFG-IRPH--;SFG-IRP---
a-f-g-i-t-h;SFG-ITH---;SFG-IT--
a-f-g-i-u-h;SFG-IUH---;SFG-IU--
a-f-g-i-u-e-h;SFG-IUEH--;SFG-IUE--
a-f-g-i-u-e-d-h;SFG-IUEDH-;SFG-IUE--
a-f-g-i-u-e-f-h;SFG-IUEFH-;SFG-IUE--
a-f-g-i-u-e-n-h;SFG-IUENH-;SFG-IUE--
a-f-g-i-u-p-h;SFG-IUPH--;SFG-IUP---
a-f-g-i-u-r-h;SFG-IURH--;SFG-IUR---
a-f-g-i-u-t-h;SFG-IUTH--;SFG-IUT---
a-f-g-i-x-h;SFG-IXH---;SFG-IXH---
a-f-g-i-x-h-h;SFG-IXHH--;SFG-IXH---
a-f-g-u;SFG-U-----;SFG-U-----
a-f-g-u-c;SFG-UC----;SFG-UC----
a-f-g-u-c-a;SFG-UCA---;SFG-UCA---
a-f-g-u-c-a-a;SFG-UCAA--;SFG-UCAA--
a-f-g-u-c-a-a-a;SFG-UCAAA-;SFG-UCAAA-
a-f-g-u-c-a-a-a-s;SFG-UCAAAS;SFG-UCAAAS
a-f-g-u-c-a-a-a-t;SFG-UCAAAT;SFG-UCAAAT
a-f-g-u-c-a-a-a-w;SFG-UCAAAW;SFG-UCAAAW
a-f-g-u-c-a-a-c;SFG-UCAAC-;SFG-UCAAC-
a-f-g-u-c-a-a-d;SFG-UCAAD-;SFG-UCAAD-
a-f-g-u-c-a-a-l;SFG-UCAAL-;SFG-UCAAL-
a-f-g-u-c-a-a-m;SFG-UCAAM-;SFG-UCAAM-
a-f-g-u-c-a-a-o;SFG-UCAAO-;SFG-UCAAO-
a-f-g-u-c-a-a-o-s;SFG-UCAAOS;SFG-UCAAOS
a-f-g-u-c-a-a-s;SFG-UCAAS-;SFG-UCAAS-
a-f-g-u-c-a-a-u;SFG-UCAAU-;SFG-UCAAU-
a-f-g-u-c-a-t;SFG-UCAT--;SFG-UCAT--
a-f-g-u-c-a-t-a;SFG-UCATA-;SFG-UCATA-
a-f-g-u-c-a-t-h;SFG-UCATH-;SFG-UCATH-
a-f-g-u-c-a-t-l;SFG-UCATL-;SFG-UCATL-
a-f-g-u-c-a-t-m;SFG-UCATM-;SFG-UCATM-
a-f-g-u-c-a-t-r;SFG-UCATR-;SFG-UCATR-
a-f-g-u-c-a-t-w;SFG-UCATW-;SFG-UCATW-
a-f-g-u-c-a-t-w-r;SFG-UCATWR;SFG-UCATWR
a-f-g-u-c-a-w;SFG-UCAW--;SFG-UCAW--
a-f-g-u-c-a-w-a;SFG-UCAWA-;SFG-UCAWA-
a-f-g-u-c-a-w-h;SFG-UCAWH-;SFG-UCAWH-
a-f-g-u-c-a-w-l;SFG-UCAWL-;SFG-UCAWL-
a-f-g-u-c-a-w-m;SFG-UCAWM-;SFG-UCAWM-
a-f-g-u-c-a-w-r;SFG-UCAWR-;SFG-UCAWR-
a-f-g-u-c-a-w-s;SFG-UCAWS-;SFG-UCAWS-
a-f-g-u-c-a-w-w;SFG-UCAWW-;SFG-UCAWW-
a-f-g-u-c-a-w-w-r;SFG-UCAWWR;SFG-UCAWWR
a-f-g-u-c-d;SFG-UCD---;SFG-UCD---
a-f-g-u-c-d-c;SFG-UCDC--;SFG-UCDC--
a-f-g-u-c-d-g;SFG-UCDG--;SFG-UCDG--
a-f-g-u-c-d-h;SFG-UCDH--;SFG-UCDH--
a-f-g-u-c-d-h-h;SFG-UCDHH-;SFG-UCDH--
a-f-g-u-c-d-h-p;SFG-UCDHP-;SFG-UCDH--
a-f-g-u-c-d-m;SFG-UCDM--;SFG-UCDM--
a-f-g-u-c-d-m-h;SFG-UCDMH-;SFG-UCDMH-
a-f-g-u-c-d-m-l;SFG-UCDML-;SFG-UCDML-
a-f-g-u-c-d-m-l-a;SFG-UCDMLA;SFG-UCDMLA
a-f-g-u-c-d-m-m;SFG-UCDMM-;SFG-UCDMM-
a-f-g-u-c-d-o;SFG-UCDO--;SFG-UCDO--
a-f-g-u-c-d-s;SFG-UCDS--;SFG-UCDS--
a-f-g-u-c-d-s-c;SFG-UCDSC-;SFG-UCDS--
a-f-g-u-c-d-s-s;SFG-UCDSS-;SFG-UCDS--
a-f-g-u-c-d-s-v;SFG-UCDSV-;SFG-UCDS--
a-f-g-u-c-d-t;SFG-UCDT--;SFG-UCDT--
a-f-g-u-c-e;SFG-UCE---;SFG-UCE---
a-f-g-u-c-e-c;SFG-UCEC--;SFG-UCEC--
a-f-g-u-c-e-c-a;SFG-UCECA-;SFG-UCECA-
a-f-g-u-c-e-c-c;SFG-UCECC-;SFG-UCECC-
a-f-g-u-c-e-c-h;SFG-UCECH-;SFG-UCECH-
a-f-g-u-c-e-c-l;SFG-UCECL-;SFG-UCECL-
a-f-g-u-c-e-c-m;SFG-UCECM-;SFG-UCECM-
a-f-g-u-c-e-c-o;SFG-UCECO-;SFG-UCECO-
a-f-g-u-c-e-c-r;SFG-UCECR-;SFG-UCECR-
a-f-g-u-c-e-c-s;SFG-UCECS-;SFG-UCECS-
a-f-g-u-c-e-c-t;SFG-UCECT-;SFG-UCECT-
a-f-g-u-c-e-c-w;SFG-UCECW-;SFG-UCECW-
a-f-g-u-c-e-n;SFG-UCEN--;SFG-UCEN--
a-f-g-u-c-e-n-n;SFG-UCENN-;SFG-UCENN-
a-f-g-u-c-f;SFG-UCF---;SFG-UCF---
a-f-g-u-c-f-h;SFG-UCFH--;SFG-UCFH--
a-f-g-u-c-f-h-a;SFG-UCFHA-;SFG-UCFHA-
a-f-g-u-c-f-h-c;SFG-UCFHC-;SFG-UCFHC-
a-f-g-u-c-f-h-e;SFG-UCFHE-;SFG-UCFHE-
a-f-g-u-c-f-h-h;SFG-UCFHH-;SFG-UCFHH-
a-f-g-u-c-f-h-l;SFG-UCFHL-;SFG-UCFHL-
a-f-g-u-c-f-h-m;SFG-UCFHM-;SFG-UCFHM-
a-f-g-u-c-f-h-o;SFG-UCFHO-;SFG-UCFHO-
a-f-g-u-c-f-h-s;SFG-UCFHS-;SFG-UCFHS-
a-f-g-u-c-f-h-x;SFG-UCFHX-;SFG-UCFHX-
a-f-g-u-c-f-m;SFG-UCFM--;SFG-UCFM--
a-f-g-u-c-f-m-l;SFG-UCFML-;SFG-UCFML-
a-f-g-u-c-f-m-s;SFG-UCFMS-;SFG-UCFMS-
a-f-g-u-c-f-m-t;SFG-UCFMT-;SFG-UCFMT-
a-f-g-u-c-f-m-t-a;SFG-UCFMTA;SFG-UCFMTA
a-f-g-u-c-f-m-t-c;SFG-UCFMTC;SFG-UCFMTC
a-f-g-u-c-f-m-t-o;SFG-UCFMTO;SFG-UCFMTO
a-f-g-u-c-f-m-t-s;SFG-UCFMTS;SFG-UCFMTS
a-f-g-u-c-f-m-w;SFG-UCFMW-;SFG-UCFMSW
